x	v	dtheta	theta
-0.07671	0.13831	0.010268	-0.049055
-0.033931	0.57339	-1.1176	-0.1117
-0.045115	-1.0544	3.948	0.031371
-0.20367	-1.8905	5.6139	0.54263
-0.32149	-0.34942	0.13773	0.81921
-0.30186	0.79698	-4.3376	0.61932
-0.13756	2.5874	-10.216	-0.13242
0.12051	2.5595	-8.5814	-1.1072
0.31151	1.0371	-5.1672	-1.773
0.32296	-0.13815	-3.96	-2.2166
0.3038	-1.1008	-4.1594	-2.62
0.22736	-0.089363	-0.17247	-2.8268
0.20063	-0.85817	-1.5892	-2.9039
0.098518	-1.064	-1.7001	-3.0593
-0.0096168	-1.0548	-1.6944	-3.2279
-0.094198	-0.56587	-0.64892	-3.3506
-0.12295	-0.090818	0.11606	-3.3565
-0.1221	0.25184	0.39912	-3.3325
-0.089811	0.71692	1.3709	-3.2595
-0.011728	0.69729	1.1019	-3.1381
0.060302	0.60626	1.0386	-3.0522
0.10149	0.30325	0.58271	-2.9672
0.106	-0.29717	-0.67342	-2.9508
0.058113	-0.8332	-1.8709	-3.0929
-0.0065551	-0.072735	0.44506	-3.1444
-0.02629	-0.6088	-1.2599	-3.1956
-0.056599	-0.032144	0.28245	-3.2231
-0.060611	-0.23974	-0.67372	-3.2637
-0.047277	0.63915	1.6571	-3.2033
-0.021478	0.25999	0.46843	-3.0912
-0.0059733	-0.24579	-0.96277	-3.1368
-0.009166	0.49847	1.2884	-3.128
0.031324	0.011794	0.077214	-3.0276
0.0024396	-0.63327	-1.7223	-3.1138
-0.02852	0.16866	0.60025	-3.178
-0.021358	-0.12579	-0.35992	-3.168
-0.035832	0.11596	0.2828	-3.1753
-0.012049	0.0055601	-0.16734	-3.1809
-7.5267e-05	0.43956	1.133	-3.1226
0.032274	-0.00097961	-0.079748	-3.0768
-0.0031504	-0.2053	-0.42548	-3.0962
