x	v	theta	sin(theta)	cos(theta)	u
-0.075075	-0.15606	-0.030893	0.053417	0.053392	0.99857	4.2027
-0.062039	0.51919	-2.1185	-0.063776	-0.063733	0.99797	-9.9336
-0.081954	-1.081	2.9697	-0.0004039	-0.0004039	1	-9.2505
-0.21893	-2.295	5.9031	0.4606	0.44449	0.89579	9.8731
-0.40641	-0.67979	0.20378	0.73091	0.66755	0.74457	8.711
-0.41092	0.77689	-5.0073	0.51104	0.48908	0.87224	9.7961
-0.24678	2.3999	-10.198	-0.2759	-0.27241	0.96218	8.4986
0.020162	2.3704	-8.1845	-1.2226	-0.93998	0.34122	-9.6335
0.15949	0.83787	-5.1856	-1.8699	-0.95562	-0.29462	-9.8019
0.18809	-0.3405	-4.4818	-2.3216	-0.73117	-0.68219	-4.8057
0.12113	-0.91561	-4.3169	-2.7681	-0.36485	-0.93107	8.7511
0.10518	0.53395	0.65819	-2.9424	-0.19791	-0.98022	-4.0609
0.11975	0.026287	-0.22049	-2.9283	-0.21172	-0.97733	-4.0182
0.097536	-0.48518	-1.1842	-3.0163	-0.125	-0.99216	1.054
0.085674	-0.25882	-0.15383	-3.0453	-0.096131	-0.99537	-2.9826
0.049923	-0.69897	-1.2639	-3.1318	-0.009755	-0.99995	2.8225
-0.022133	-0.24098	0.0057657	-3.1878	0.046218	-0.99893	-1.6632
-0.066958	-0.50837	-1.0186	-3.2402	0.09844	-0.99514	3.7881
-0.085258	0.015234	0.24861	-3.2706	0.12862	-0.99169	0.72807
-0.080018	0.06394	0.077793	-3.2585	0.11663	-0.99318	2.4387
-0.046798	0.3909	0.78615	-3.2287	0.087017	-0.99621	0.68699
-0.0078296	0.49135	0.96859	-3.134	-0.0075481	-0.99997	-1.8159
0.016842	0.22552	0.34516	-3.0515	-0.089932	-0.99595	-3.3184
0.0035849	-0.27804	-0.87145	-3.0874	-0.054127	-0.99853	0.91956
-0.013975	-0.10615	-0.31614	-3.1447	0.0030923	-1	0.65157
-0.01831	-0.03467	-0.081118	-3.146	0.0044062	-0.99999	-0.46239
-0.02629	-0.09803	-0.43573	-3.1714	0.029778	-0.99956	2.751
-0.016183	0.3026	0.63783	-3.1867	0.045121	-0.99898	0.089133
0.033442	0.31804	0.66958	-3.1212	-0.020428	-0.99979	-1.0234
0.037775	0.15299	0.39908	-3.0415	-0.099912	-0.995	-3.9701
0.020382	-0.40435	-1.1549	-3.0945	-0.047031	-0.99889	2.9283
0.0024022	0.068354	0.32291	-3.14	-0.0016242	-1	-1.5934
0.0026372	-0.18117	-0.40786	-3.1489	0.0073177	-0.99997	1.3298
-0.021469	0.017298	0.16348	-3.1675	0.025879	-0.99967	-0.77656
-0.0092394	-0.11105	-0.26629	-3.1685	0.026901	-0.99964	1.5557
0.008131	0.12625	0.35878	-3.1494	0.0077736	-0.99997	-0.63234
0.020015	0.045371	0.0095519	-3.1538	0.012198	-0.99993	1.717
0.032541	0.29234	0.93872	-3.1008	-0.040799	-0.99917	-3.1721
0.036151	-0.16506	-0.23834	-3.049	-0.092472	-0.99572	-3.3081
-0.02445	-0.6609	-1.5928	-3.1642	0.022566	-0.99975	4.8588
