x	v	dtheta	theta	sin(theta)	cos(theta)	u
0.030108	-0.031756	-0.082215	-0.056651	-0.056621	0.9984	3.6923
0.052787	0.50262	-1.4533	-0.11757	-0.1173	0.9931	-9.9857
0.01236	-1.1452	3.812	-0.0097261	-0.009726	0.99995	-7.2129
-0.14838	-1.9954	5.6118	0.49226	0.47262	0.88127	8.9513
-0.26832	-0.49676	0.25894	0.76276	0.69092	0.72293	7.2956
-0.28681	0.72138	-4.4088	0.57006	0.53968	0.84187	10
-0.072244	2.4755	-10.139	-0.17771	-0.17678	0.98425	8.0527
0.1592	2.4625	-8.416	-1.1469	-0.91149	0.41132	-9.5296
0.30445	0.90584	-5.0498	-1.7793	-0.97834	-0.20699	-9.9962
0.35078	-0.26433	-3.8442	-2.2257	-0.7931	-0.60908	-8.8554
0.29009	-1.2831	-4.1867	-2.6098	-0.50704	-0.86192	2.8286
0.1803	-0.73146	-1.5744	-2.8904	-0.24852	-0.96863	-2.2242
0.096697	-1.0026	-1.7894	-3.039	-0.10243	-0.99474	0.3111
-0.0052747	-0.90292	-1.5605	-3.209	0.067307	-0.99773	3.9378
-0.071264	-0.3322	-0.22848	-3.2824	0.14037	-0.9901	1.1825
-0.095301	-0.24935	-0.44553	-3.3145	0.17207	-0.98509	4.7397
-0.11189	0.37087	0.88891	-3.2894	0.14725	-0.9891	0.065911
-0.055078	0.32988	0.29233	-3.2511	0.10931	-0.99401	4.6045
0.0077602	0.99621	2.1122	-3.1302	-0.011361	-0.99994	-2.6165
0.090867	0.64131	1.2453	-2.9838	-0.15718	-0.98757	-4.4453
0.13038	0.038259	0.14195	-2.9314	-0.20863	-0.97799	-5.1949
0.092994	-0.66823	-1.2389	-2.9558	-0.18473	-0.98279	-4.3237
0.011036	-1.2657	-2.8207	-3.1513	0.0097119	-0.99995	7.0531
-0.074054	-0.20089	0.066931	-3.2802	0.13819	-0.99041	0.35115
-0.099653	-0.2483	-0.51058	-3.3281	0.18545	-0.98265	5.7619
-0.087519	0.5873	1.4324	-3.267	0.12504	-0.99215	-1.0609
-0.02674	0.35395	0.58703	-3.1755	0.033901	-0.99943	0.21297
-0.00045353	0.39365	0.70546	-3.1108	-0.030763	-0.99953	-1.9138
0.040334	0.12624	0.049306	-3.0603	-0.081218	-0.9967	-1.3173
0.058584	-0.032901	-0.27549	-3.075	-0.066533	-0.99778	0.72882
0.027468	0.082614	0.35105	-3.0971	-0.044493	-0.99901	-2.5219
0.020875	-0.24395	-0.51364	-3.0556	-0.08589	-0.9963	-2.6628
-0.0096545	-0.65643	-1.6895	-3.1911	0.049498	-0.99877	7.515
-0.030062	0.49093	1.5285	-3.2033	0.061673	-0.9981	-2.3582
-0.0034641	0.11131	0.42927	-3.0791	-0.062435	-0.99805	-4.2485
-0.032081	-0.54459	-1.4729	-3.1624	0.020757	-0.99978	5.142
-0.028116	0.24534	0.79454	-3.1758	0.034244	-0.99941	-2.1043
-0.031163	-0.10171	-0.33634	-3.1646	0.023036	-0.99973	1.1963
-0.013102	0.05769	0.12931	-3.1836	0.041976	-0.99912	1.0198
-0.0058529	0.222	0.52955	-3.1544	0.012799	-0.99992	-1.0041
